id,name,name_with_place,municipality,locality,modes,lines,line_count,has_bus,has_rail
de:08111:2420,Laihle,Laihle,Stuttgart,Stuttgart,Bus,91,1,True,False
de:08111:6353,Landhauskreuzung,Landhauskreuzung,Stuttgart,Stuttgart,Bus; Nachtbus,"73, N8",2,True,False
de:08111:2057,Landhausstraße 43,Landhausstraße 43,Stuttgart,Stuttgart,Bus; Nachtbus,"42, N9",2,True,False
de:08111:6164,Laustraße,Laustraße,Stuttgart,Stuttgart,Nachtbus,N9,1,True,False
de:08111:249,Lechweg,Lechweg,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:2536,Lederberg,Lederberg,Stuttgart,Stuttgart,Bus; Nachtbus,"65, N7",2,True,False
de:08111:2407,Leibnizstraße,Leibnizstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"40, N2",2,True,False
de:08111:2050,Leipziger Platz,Leipziger Platz,Stuttgart,Stuttgart,Bus; Nachtbus,"44, N2",2,True,False
de:08111:156,Leobener Straße,Leobener Straße,Stuttgart,Stuttgart,Nachtbus,N3,1,True,False
de:08111:6100,Lerchenrainschule,Lerchenrainschule,Stuttgart,Stuttgart,Bus; Nachtbus,"41, N10",2,True,False
de:08111:2348,Lilienthalstraße,Lilienthalstraße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:6173,Lohäckerstraße,Lohäckerstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"72, N9",2,True,False
de:08111:319,Losäcker,Losäcker,Stuttgart,Stuttgart,Nachtbus,N3,1,True,False
de:08111:2506,Luginsland,Luginsland,Stuttgart,Stuttgart,Bus; Nachtbus,"60, N6",2,True,False
de:08111:2525,Luikenweg,Luikenweg,Stuttgart,Stuttgart,Bus; Ruftaxi,"62, RT7",2,True,False
de:08111:3995,Manzeller Weg,Manzeller Weg,Stuttgart,Stuttgart,Bus,103,1,True,False
de:08111:2483,Marabustraße,Marabustraße,Stuttgart,Stuttgart,Bus; Nachtbus,"54, N5",2,True,False
de:08111:2464,Marconibrücke,Marconibrücke,Stuttgart,Stuttgart,Bus,99,1,True,False
de:08111:2410,Marien-/Silberburgstraße,Marien-/Silberburgstraße,Stuttgart,Stuttgart,Bus,"41, 43",2,True,False
de:08111:2411,Markuskirche,Markuskirche,Stuttgart,Stuttgart,Bus; Nachtbus,"43, N1",2,True,False
de:08111:2252,Martinskirche,Martinskirche,Stuttgart,Stuttgart,Bus,"52, 56",2,True,False
de:08111:150,Mathildenstraße,Mathildenstraße,Stuttgart,Stuttgart,Nachtbus,N3,1,True,False
de:08111:6031,Meitnerstraße,Meitnerstraße,Stuttgart,Stuttgart,Bus,82,1,True,False
de:08111:4066,Mercedes-Benz,Mercedes-Benz,Stuttgart,Stuttgart,Bus,103,1,True,False
de:08111:2331,Mercedes-Benz Welt,Mercedes-Benz Welt,Stuttgart,Stuttgart,Bus,45,1,True,False
de:08111:2415,Metzgerhau,Metzgerhau,Stuttgart,Stuttgart,Bus,92,1,True,False
de:08111:6464,Morsestraße,Morsestraße,Stuttgart,Stuttgart,Bus; Nachtbus,"52, N4",2,True,False
de:08111:373,Moselstraße,Stuttgart Moselstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"59, N4",2,True,False
de:08111:2350,Motorstraße 24,Motorstraße 24,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2488,Muckensturm,Muckensturm,Stuttgart,Stuttgart,Bus; Nachtbus,"54, N5",2,True,False
de:08111:2427,Mähderklinge,Mähderklinge,Stuttgart,Stuttgart,Bus,91,1,True,False
de:08111:2583,Möhringen Rathaus,Möhringen Rathaus,Stuttgart,Stuttgart,Bus; Nachtbus,"72, N9",2,True,False
de:08111:2635,Mönsheimer Weg,Mönsheimer Weg,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2409,Mörikestraße,Mörikestraße,Stuttgart,Stuttgart,Bus,"41, 43",2,True,False
de:08111:250,Münster Friedhof,Münster Friedhof,Stuttgart,Stuttgart,Bus,59,1,True,False
